Date,Open,High,Low,Close,Adj Close,Volume,close-open,increase yes or no,50day moving average,50 moving day average,100 day moving average,100 day moving average beat,AMD News,Quarterly earnings
2018-12-11,20.709999,21.139999,19.690001,19.98,19.98,88027400,-0.729999,no,0.3996,No,0.1998,No,No,No
2018-12-12,20.32,21.02,19.709999,20.48,20.48,100340700,0.16,yes,0.8092,No,0.4046,No,No,No
2018-12-13,20.629999,20.870001,19.76,19.860001,19.860001,88108300,-0.769998,no,1.20640002,No,0.60320001,No,No,No
2018-12-14,19.58,20.700001,19.52,19.9,19.9,84713600,0.32,yes,1.60440002,No,0.80220001,No,No,No
2018-12-17,20.01,20.02,18.639999,18.83,18.83,115437900,-1.18,no,1.98100002,No,0.99050001,No,No,No
2018-12-18,19.15,19.84,18.879999,19.5,19.5,101512900,0.35,yes,2.37100002,No,1.18550001,No,No,No
2018-12-19,19.440001,19.719999,18,18.16,18.16,120644500,-1.280001,no,2.73420002,No,1.36710001,No,No,No
2018-12-20,18.110001,18.860001,17.34,17.940001,17.940001,119394500,-0.17,no,3.09300004,No,1.54650002,No,No,No
2018-12-21,18.120001,18.34,16.76,16.93,16.93,132246000,-1.190001,no,3.43160004,No,1.71580002,No,No,No
2018-12-24,16.52,17.219999,16.370001,16.65,16.65,62933100,0.13,yes,3.76460004,No,1.88230002,No,No,No
2018-12-26,16.879999,17.91,16.030001,17.9,17.9,108811800,1.020001,yes,4.12260004,No,2.06130002,No,No,No
2018-12-27,17.43,17.74,16.440001,17.49,17.49,111373000,0.06,yes,4.47240004,No,2.23620002,No,No,No
2018-12-28,17.530001,18.309999,17.139999,17.82,17.82,109214400,0.289999,yes,4.82880004,No,2.41440002,No,No,No
2018-12-31,18.15,18.51,17.85,18.459999,18.459999,84732200,0.309999,yes,5.19800002,No,2.59900001,No,No,No
2019-01-02,18.01,19,17.98,18.83,18.83,87148700,0.82,yes,5.57460002,No,2.78730001,No,Yes,No
2019-01-03,18.42,18.68,16.940001,17.049999,17.049999,117277600,-1.370001,no,5.9156,No,2.9578,No,No,No
2019-01-04,17.549999,19.07,17.43,19,19,111878600,1.450001,yes,6.2956,No,3.1478,No,No,No
2019-01-07,19.440001,20.68,19,20.57,20.57,107157000,1.129999,yes,6.707,No,3.3535,No,No,No
2019-01-08,21.190001,21.200001,19.68,20.75,20.75,121271000,-0.440001,no,7.122,No,3.561,No,No,No
2019-01-09,20.889999,21.440001,20.07,20.190001,20.190001,163944100,-0.699998,no,7.52580002,No,3.76290001,No,Yes,No
2019-01-10,19.76,19.83,18.9,19.74,19.74,115629400,-0.02,no,7.92060002,No,3.96030001,No,No,No
2019-01-11,19.469999,20.35,19.190001,20.27,20.27,85110800,0.800001,yes,8.32600002,No,4.16300001,No,No,No
2019-01-14,19.959999,20.620001,19.75,20.23,20.23,71350200,0.270001,yes,8.73060002,No,4.36530001,No,No,No
2019-01-15,20.440001,20.68,20.26,20.379999,20.379999,62785800,-0.060002,no,9.1382,No,4.5691,No,No,No
2019-01-16,20.4,20.540001,19.709999,19.73,19.73,70849300,-0.67,no,9.5328,No,4.7664,No,Yes,No
2019-01-17,19.49,20.51,19.02,20.25,20.25,85018400,0.76,yes,9.9378,No,4.9689,No,Yes,No
2019-01-18,20.370001,21.049999,20.02,20.77,20.77,88131000,0.399999,yes,10.3532,No,5.1766,No,No,No
2019-01-22,20.48,20.92,19.700001,19.76,19.76,78513700,-0.72,no,10.7484,No,5.3742,No,No,No
2019-01-23,20.030001,20.48,19.549999,19.799999,19.799999,77811300,-0.230002,no,11.14439998,No,5.57219999,No,No,No
2019-01-24,20.059999,21.01,20.040001,20.85,20.85,97433400,0.790001,yes,11.56139998,No,5.78069999,No,No,No
2019-01-25,20.99,22.030001,20.790001,21.93,21.93,110239500,0.94,yes,11.99999998,No,5.99999999,No,Yes,No
2019-01-28,20.32,21.01,20.02,20.18,20.18,135164100,-0.14,no,12.40359998,No,6.20179999,No,No,No
2019-01-29,20.26,20.389999,19.049999,19.25,19.25,131202500,-1.01,no,12.78859998,No,6.39429999,No,Yes,Yes
2019-01-30,21.49,23.129999,21.370001,23.09,23.09,211421200,1.6,yes,13.25039998,No,6.62519999,No,No,No
2019-01-31,23.02,25.139999,22.83,24.41,24.41,182575600,1.39,yes,13.73859998,No,6.86929999,No,No,No
2019-02-01,24.610001,24.84,24.07,24.51,24.51,105356200,-0.100001,no,14.22879998,No,7.11439999,No,No,No
2019-02-04,24.43,24.66,24.07,24.129999,24.129999,70843800,-0.300001,no,14.71139996,No,7.35569998,No,No,No
2019-02-05,23.42,23.860001,22.98,23.309999,23.309999,122226000,-0.110001,no,15.17759994,No,7.58879997,No,Yes,No
2019-02-06,23.629999,24.139999,23.219999,23.26,23.26,78684300,-0.369999,no,15.64279994,No,7.82139997,No,No,No
2019-02-07,22.99,23.219999,22.32,22.67,22.67,86723900,-0.32,no,16.09619994,No,8.04809997,No,No,No
2019-02-08,22.33,23.280001,22.27,23.049999,23.049999,78129300,0.719999,yes,16.55719992,No,8.27859996,No,No,No
2019-02-11,23.049999,23.280001,22.66,22.959999,22.959999,60578700,-0.09,no,17.0163999,No,8.50819995,No,No,No
2019-02-12,23.43,23.559999,22.75,22.82,22.82,67595400,-0.61,no,17.4727999,No,8.73639995,No,No,No
2019-02-13,22.98,23.24,22.709999,22.85,22.85,57544200,-0.13,no,17.9297999,No,8.96489995,No,No,No
2019-02-14,22.74,23.370001,22.59,23.129999,23.129999,64441200,0.389999,yes,18.39239988,No,9.19619994,No,No,No
2019-02-15,23.58,24.049999,23.200001,23.68,23.68,78644100,0.1,yes,18.86599988,No,9.43299994,No,No,No
2019-02-19,23.629999,24.41,23.610001,23.950001,23.950001,57517900,0.320002,yes,19.3449999,No,9.67249995,No,No,No
2019-02-20,24.139999,24.370001,23.9,23.950001,23.950001,57091600,-0.189998,no,19.82399992,No,9.91199996,No,No,No
2019-02-21,24.040001,24.33,23.85,23.92,23.92,49608200,-0.120001,no,20.30239992,No,10.15119996,No,No,No
2019-02-22,24.049999,24.360001,23.879999,24.360001,24.360001,52650700,0.310002,yes,20.78959994,No,10.39479997,No,No,No
2019-02-25,25.01,25.52,24.68,24.709999,24.709999,63221000,-0.300001,no,20.88419992,No,10.64189996,No,No,No
2019-02-26,24.65,24.719999,24.15,24.209999,24.209999,48470100,-0.440001,no,20.9587999,No,10.88399995,No,Yes,No
2019-02-27,24.110001,24.23,23.209999,23.48,23.48,62649300,-0.630001,no,21.03119988,No,11.11879995,No,No,No
2019-02-28,23.209999,23.67,23.110001,23.530001,23.530001,39384900,0.320002,yes,21.1037999,No,11.35409996,No,No,No
2019-03-01,23.969999,24.190001,23.450001,23.68,23.68,48084000,-0.289999,no,21.2007999,No,11.59089996,No,No,No
2019-03-04,23.889999,24.129999,23.01,23.370001,23.370001,48147700,-0.519998,no,21.27819992,No,11.82459997,No,No,No
2019-03-05,23.34,23.68,23.01,23.5,23.5,35462600,0.16,yes,21.38499992,No,12.05959997,No,No,No
2019-03-06,23.469999,23.530001,22.4,22.41,22.41,60479400,-1.059999,no,21.4743999,No,12.28369997,No,No,No
2019-03-07,22.33,22.41,21.73,22.08,22.08,52186300,-0.25,no,21.5773999,No,12.50449997,No,Yes,No
2019-03-08,21.35,22.09,21.040001,22.01,22.01,49967700,0.66,yes,21.6845999,No,12.72459997,No,No,No
2019-03-11,22.15,23.08,21.98,22.959999,22.959999,54420200,0.809999,yes,21.78579988,No,12.95419996,No,No,No
2019-03-12,23.1,23.799999,22.780001,23.49,23.49,56410600,0.39,yes,21.90579988,No,13.18909996,No,No,No
2019-03-13,23.66,24.15,23.35,23.379999,23.379999,56705800,-0.280001,no,22.01699986,No,13.42289995,No,No,No
2019-03-14,23.370001,23.49,22.799999,22.82,22.82,42818600,-0.550001,no,22.10419988,No,13.65109995,No,No,No
2019-03-15,23.1,23.65,23.01,23.290001,23.290001,46519900,0.190001,yes,22.1933999,No,13.88399996,No,No,No
2019-03-18,23.299999,23.620001,23.040001,23.25,23.25,34731800,-0.049999,no,22.31739992,No,14.11649996,No,No,No
2019-03-19,23.6,26.08,23.59,26,26,156052200,2.4,yes,22.45739992,No,14.37649996,No,Yes,No
2019-03-20,26.49,26.879999,25.309999,25.700001,25.700001,151292100,-0.789999,no,22.55999994,No,14.63349997,No,No,No
2019-03-21,25.780001,28.110001,25.709999,27.889999,27.889999,129610300,2.109998,yes,22.70279992,No,14.91239996,No,No,No
2019-03-22,27.540001,27.75,26.33,26.370001,26.370001,115323300,-1.17,no,22.82639992,No,15.17609997,No,No,No
2019-03-25,26.290001,26.99,25.540001,25.969999,25.969999,78438200,-0.320002,no,22.9509999,No,15.43579996,No,No,No
2019-03-26,26.690001,26.98,25.459999,25.690001,25.690001,75754100,-1,no,23.05939992,No,15.69269997,No,Yes,No
2019-03-27,25.700001,25.879999,24.549999,24.889999,24.889999,88585300,-0.810002,no,23.1525999,No,15.94159996,No,No,No
2019-03-28,25.1,25.559999,24.65,25.059999,25.059999,64667500,-0.040001,no,23.2461999,No,16.19219995,No,No,No
2019-03-29,25.58,25.73,25.25,25.52,25.52,53502800,-0.06,no,23.3619999,No,16.44739995,No,No,No
2019-04-01,26.42,26.559999,25.83,26.360001,26.360001,63000300,-0.059999,no,23.48419992,No,16.71099996,No,No,No
2019-04-02,26.51,26.799999,26.09,26.75,26.75,53358800,0.24,yes,23.60379992,No,16.97849996,No,Yes,No
2019-04-03,28.02,29.950001,27.879999,29.02,29.02,197650500,1,yes,23.78899992,No,17.26869996,No,No,No
2019-04-04,28.879999,29.389999,28.610001,29.09,29.09,82191100,0.210001,yes,23.97479994,No,17.55959996,No,No,No
2019-04-05,29.639999,29.690001,28.799999,28.98,28.98,65662700,-0.659999,no,24.13739994,No,17.84939996,No,No,No
2019-04-08,28.690001,28.950001,28.18,28.530001,28.530001,58002500,-0.16,no,24.26939996,No,18.13469997,No,Yes,No
2019-04-09,28.24,28.379999,27.190001,27.24,27.24,75539800,-1,no,24.41059996,No,18.40709997,No,No,No
2019-04-10,27.459999,28.120001,27.32,27.83,27.83,64368100,0.370001,yes,24.58219996,No,18.68539997,No,No,No
2019-04-11,27.809999,28.049999,27.459999,27.790001,27.790001,44801200,-0.019998,no,24.67619998,No,18.96329998,No,No,No
2019-04-12,28.209999,28.379999,27.66,27.85,27.85,41048800,-0.359999,no,24.74499998,No,19.24179998,No,No,No
2019-04-15,27.799999,27.84,26.959999,27.33,27.33,40812500,-0.469999,no,24.80139998,No,19.51509998,No,No,No
2019-04-16,27.719999,28.18,27.49,27.93,27.93,47340100,0.210001,yes,24.8774,No,19.79439998,No,Yes,No
2019-04-17,28.209999,28.27,27.219999,27.49,27.49,48240800,-0.719999,no,24.96100002,No,20.06929998,No,No,No
2019-04-18,27.6,27.879999,27.34,27.68,27.68,39880900,0.08,yes,25.04940002,No,20.34609998,No,No,No
2019-04-22,27.620001,28.23,27.389999,28.18,28.18,36477300,0.559999,yes,25.15960002,No,20.62789998,No,No,No
2019-04-23,28.18,28.49,27.790001,27.969999,27.969999,41777500,-0.210001,no,25.25800002,No,20.90759997,No,No,No
2019-04-24,28.1,28.85,27.93,28.459999,28.459999,51784700,0.359999,yes,25.36800002,No,21.19219996,No,No,No
2019-04-25,28.67,28.860001,27.360001,27.66,27.66,57329700,-1.01,no,25.46480002,No,21.46879996,No,No,No
2019-04-26,27.66,27.9,27.049999,27.879999,27.879999,48827900,0.219999,yes,25.5654,No,21.74759995,No,No,No
2019-04-29,27.9,28.139999,27.5,27.690001,27.690001,44532700,-0.209999,no,25.65660004,No,22.02449996,No,Yes,No
2019-04-30,27.59,27.799999,26.940001,27.629999,27.629999,73165900,0.039999,yes,25.73560002,No,22.30079995,No,Yes,Yes
2019-05-01,28.950001,29.15,26.780001,26.809999,26.809999,136066900,-2.140002,no,25.79279998,No,22.56889994,No,No,No
2019-05-02,26.940001,28.639999,26.610001,28.290001,28.290001,100514800,1.35,yes,25.87959998,No,22.85179995,No,No,No
2019-05-03,28.299999,28.42,27.66,28.219999,28.219999,55503100,-0.08,no,25.96559996,No,23.13399994,No,No,No
2019-05-06,26.719999,27.5,26.450001,27.42,27.42,70344100,0.700001,yes,26.02679994,No,23.40819994,No,No,No
2019-05-07,27.200001,27.35,26.209999,26.66,26.66,75868800,-0.540001,no,26.06579996,No,23.47499994,No,Yes,No
2019-05-08,26.41,27.709999,26.27,27.09,27.09,65967500,0.68,yes,26.12339998,No,23.54109994,No,Yes,No
2019-05-09,26.700001,27.379999,26.030001,27.209999,27.209999,73150900,0.509998,yes,26.19799996,No,23.61459992,No,No,No
2019-05-10,27.030001,28.1,26.93,27.959999,27.959999,82930100,0.929998,yes,26.28659992,No,23.69519991,No,No,No
2019-05-13,26.98,27.23,26.1,26.24,26.24,99017900,-0.74,no,26.33779992,Yes,23.76929991,No,Yes,No
2019-05-14,26.530001,27.48,26.15,27.32,27.32,82980400,0.789999,yes,26.4167999,No,23.84749991,No,Yes,No
2019-05-15,26.870001,27.790001,26.73,27.58,27.58,55689900,0.709999,yes,26.4983999,No,23.94169991,No,No,No
2019-05-16,27.370001,28.370001,27.27,28.01,28.01,67330100,0.639999,yes,26.6103999,No,24.0423999,No,No,No
2019-05-17,27.690001,28.459999,27.4,27.5,27.5,65385400,-0.190001,no,26.7187999,No,24.1480999,No,No,No
2019-05-20,26.98,27.24,26.49,26.68,26.68,69757400,-0.3,no,26.8121999,Yes,24.2483999,No,No,No
2019-05-21,27.18,27.370001,26.93,27.35,27.35,46079200,0.17,yes,26.89999992,No,24.3428999,No,No,No
2019-05-22,27.120001,27.59,27.07,27.41,27.41,40035300,0.289999,yes,26.97839992,No,24.4420999,No,Yes,No
2019-05-23,26.99,27.1,26.030001,26.360001,26.360001,67809200,-0.629999,no,27.03799996,Yes,24.52749991,No,No,No
2019-05-24,26.610001,26.93,26.4,26.440001,26.440001,39835800,-0.17,no,27.11039998,Yes,24.60729993,No,No,No
2019-05-28,27.27,29.67,27.059999,29.049999,29.049999,146949600,1.779999,yes,27.22559994,No,24.70949992,No,No,No
2019-05-29,29,29.32,27.73,28.09,28.09,99969600,-0.91,no,27.32239994,No,24.81989993,No,No,No
2019-05-30,28.4,28.559999,27.6,28.030001,28.030001,65289100,-0.369999,no,27.36299996,No,24.91019994,No,No,No
2019-05-31,27.57,28.360001,27.4,27.41,27.41,68667800,-0.16,no,27.39719994,No,24.97859994,No,No,No
2019-06-03,28.75,29.620001,27.290001,27.58,27.58,147532200,-1.17,no,27.39099996,No,25.04689994,No,Yes,No
2019-06-04,28.389999,29.59,27.91,29.57,29.57,107549500,1.180001,yes,27.45499994,No,25.14069993,No,No,No
2019-06-05,29.93,29.99,29.030001,29.5,29.5,79481500,-0.43,no,27.52559996,No,25.23829993,No,No,No
2019-06-06,29.870001,31.98,29.84,31.82,31.82,131267800,1.949999,yes,27.64819994,No,25.35379993,No,No,No
2019-06-07,31.940001,32.599998,31.57,32.41,32.41,86841100,0.469999,yes,27.79859996,No,25.47559993,No,No,No
2019-06-10,33.529999,34.299999,33.080002,33.23,33.23,97668800,-0.299999,no,27.96199998,No,25.60409994,No,Yes,No
2019-06-11,33.43,33.490002,31.82,32.41,32.41,82834900,-1.02,no,28.09979998,No,25.73089994,No,No,No
2019-06-12,32,32.57,31.92,32.18,32.18,56194100,0.18,yes,28.21619996,No,25.85019994,No,No,No
2019-06-13,32.389999,32.5,31.059999,31.389999,31.389999,63556000,-1,no,28.30899994,No,25.95639993,No,No,No
2019-06-14,30.700001,30.959999,30.02,30.360001,30.360001,70373000,-0.34,no,28.33579996,No,26.06239994,No,Yes,No
2019-06-17,30.25,30.450001,29.18,29.200001,29.200001,70865700,-1.049999,no,28.33799998,No,26.15639996,No,No,No
2019-06-18,29.76,30.969999,29.58,30.450001,30.450001,86444500,0.690001,yes,28.3674,No,26.25239997,No,No,No
2019-06-19,30.67,30.790001,30.059999,30.5,30.5,63233900,-0.17,no,28.40679998,No,26.33809997,No,No,No
2019-06-20,31.24,31.360001,29.84,30.01,30.01,72418200,-1.23,no,28.46219998,No,26.43639997,No,No,No
2019-06-21,29.65,30.35,28.969999,29.1,29.1,81861300,-0.55,no,28.48759998,No,26.53489997,No,No,No
2019-06-24,29.32,29.4,28.67,29.26,29.26,55724800,-0.06,no,28.51699996,No,26.59659997,No,No,No
2019-06-25,29.26,29.719999,28.799999,28.860001,28.860001,53680900,-0.399999,no,28.53719998,No,26.64109998,No,No,No
2019-06-26,29.98,30.48,29.780001,29.92,29.92,65064200,-0.06,no,28.58899998,No,26.69519998,No,No,No
2019-06-27,30.41,30.959999,30.209999,30.74,30.74,55623300,0.33,yes,28.64519998,No,26.76129999,No,No,No
2019-06-28,31.08,31.110001,30.33,30.370001,30.370001,50090900,-0.709999,no,28.7028,No,26.83190001,No,No,No
2019-07-01,31.790001,32.040001,30.870001,31.200001,31.200001,60525500,-0.59,no,28.77320002,No,26.91130002,No,No,No
2019-07-02,30.959999,31.26,30.73,31.24,31.24,37721700,0.280001,yes,28.83440002,No,26.99700002,No,No,No
2019-07-03,31.129999,31.33,30.74,31.190001,31.190001,23462000,0.060002,yes,28.89880006,No,27.07840004,No,No,No
2019-07-05,30.879999,31.559999,30.75,31.5,31.5,34011900,0.620001,yes,28.95960008,No,27.16380005,No,No,No
2019-07-08,31.799999,32.150002,31.26,32.040001,32.040001,49689400,0.240002,yes,29.0472001,No,27.25600006,No,No,No
2019-07-09,31.76,33.18,30.1,33.150002,33.150002,61419800,1.390002,yes,29.15260016,No,27.35900008,No,No,No
2019-07-10,33.560001,34.029999,33.360001,33.790001,33.790001,60388400,0.23,yes,29.27460016,No,27.4656001,No,No,No
2019-07-11,33.91,34,32.759998,33.060001,33.060001,63081800,-0.849999,no,29.3832002,No,27.55940011,No,No,No
2019-07-12,32.759998,33.389999,32.59,33.209999,33.209999,51509700,0.450001,yes,29.5112002,No,27.65200009,No,No,No
2019-07-15,33.34,34.549999,33.27,34.389999,34.389999,65565200,1.049999,yes,29.63320016,No,27.75640007,No,No,No
2019-07-16,34.299999,34.860001,33.799999,33.849998,33.849998,66912700,-0.450001,no,29.74580014,No,27.85570005,No,Yes,No
2019-07-17,34.009998,34.299999,33.490002,33.599998,33.599998,42557900,-0.41,no,29.8694001,No,27.94810002,No,No,No
2019-07-18,33.029999,33.459999,32.419998,33,33,58610900,-0.029999,no,29.9962001,No,28.03100003,No,No,No
2019-07-19,33.080002,33.349998,32.450001,32.509998,32.509998,44617700,-0.570004,no,30.10460006,No,28.11400002,No,No,No
2019-07-22,32.799999,33.310001,32.740002,32.849998,32.849998,37777300,0.049999,yes,30.21740004,No,28.2077,No,Yes,No
2019-07-23,33.169998,33.5,32.93,33.490002,33.490002,38532500,0.320004,yes,30.3280001,No,28.30730001,No,No,No
2019-07-24,33.639999,34.360001,33.450001,34.110001,34.110001,41952300,0.470002,yes,30.48540012,No,28.41160002,No,No,No
2019-07-25,34.049999,34.25,33.619999,33.669998,33.669998,36705600,-0.380001,no,30.61240008,No,28.51459999,No,No,No
2019-07-26,34.23,34.77,33.869999,34.02,34.02,43502800,-0.21,no,30.74120008,No,28.61979999,No,No,No
2019-07-29,34.139999,34.18,32.98,33.48,33.48,45922000,-0.659999,no,30.85060008,No,28.73049999,No,No,No
2019-07-30,33.209999,33.939999,32.939999,33.869999,33.869999,72198900,0.66,yes,30.97800006,No,28.84839998,No,Yes,Yes
2019-07-31,32.080002,32.299999,30.299999,30.450001,30.450001,119190000,-1.630001,no,31.05340008,Yes,28.93279999,No,No,No
2019-08-01,30.5,31.48,29.1,29.860001,29.860001,80878900,-0.639999,no,31.1036001,Yes,29.00180001,No,No,No
2019-08-02,29.48,29.73,28.940001,29.440001,29.440001,60410900,-0.039999,no,31.14420012,Yes,29.06130002,No,No,No
2019-08-05,28.26,28.49,27.65,27.99,27.99,74333200,-0.27,no,31.1768001,Yes,29.10740003,No,Yes,No
2019-08-06,28.860001,29.049999,28.200001,28.860001,28.860001,60578400,0,no,31.2252001,Yes,29.16780004,No,No,No
2019-08-07,28.469999,29.280001,28.370001,29.190001,29.190001,58577500,0.720002,yes,31.22800014,Yes,29.22680004,No,Yes,No
2019-08-08,31.530001,34.27,31.48,33.919998,33.919998,167278800,2.389997,yes,31.3446001,No,29.33350002,No,No,No
2019-08-09,33.450001,35.549999,33.080002,34.189999,34.189999,132483900,0.739998,yes,31.46780006,No,29.41540001,No,No,No
2019-08-12,34.16,34.650002,32.080002,32.43,32.43,106737000,-1.73,no,31.56820006,No,29.4827,No,No,No
2019-08-13,32.360001,33.139999,31.719999,32.110001,32.110001,102009700,-0.25,no,31.65880008,No,29.52490002,No,No,No
2019-08-14,31,31.049999,29.51,30.24,30.24,127521500,-0.76,no,31.67220008,Yes,29.56360001,No,No,No
2019-08-15,30.629999,30.73,29.209999,29.67,29.67,71674400,-0.959999,no,31.67560008,Yes,29.60060002,No,No,No
